City,Area,Population,Daily_Demand_MLD,Potable_Available_MLD,NonPotable_Available_MLD,Recycled_Usage_MLD,Rainwater_Harvest_MLD,Groundwater_Level_m,Energy_Consumption_kWh,Water_Loss_%,
Hyderabad,Secunderabad,180000,22.5,18.2,3.5,1.8,0.9,18.2,14500,9.2,
Hyderabad,Somajiguda,95000,12,9.4,2.1,0.8,0.4,16.5,8700,8.1,
Hyderabad,Himayatnagar,105000,13.8,10.9,2.6,1,0.5,17,9100,7.8,
Hyderabad,Koti,78000,10.1,8.1,1.9,0.7,0.3,15.8,7200,7.5,
Hyderabad,Abids,92000,11.4,9,2,0.9,0.4,16.3,7600,8,
Hyderabad,Mehdipatnam,160000,19.6,15.8,3.4,1.7,0.8,19,13300,9.5,
Hyderabad,Tolichowki,135000,17,13.6,2.9,1.2,0.6,18.5,11800,9,
Hyderabad,Lakdikapul,85000,11.2,8.9,2,0.8,0.4,17.2,7500,7.7,
Hyderabad,Panjagutta,98000,12.7,10.1,2.2,0.9,0.5,16.8,8100,8.2,
Hyderabad,Chikkadpally,87000,11.5,9,2.1,0.8,0.4,15.9,7700,7.9,
Hyderabad,Nallakunta,76000,9.8,7.7,1.7,0.6,0.3,16,6900,7.4,
Hyderabad,Vidyanagar,95000,12,9.5,2,0.7,0.4,17.1,8100,8,
Hyderabad,Musheerabad,120000,14.6,11.7,2.6,1,0.5,18,9800,8.6,
Hyderabad,Amberpet,145000,18,14.6,3.1,1.3,0.6,19.2,11500,9.1,
Hyderabad,Ramnagar,88000,11.3,9,2.1,0.8,0.4,17,7600,7.9,
Hyderabad,Moosarambagh,102000,13.1,10.6,2.2,0.9,0.4,18.3,8800,8.3,
Hyderabad,Dilsukhnagar,175000,21.8,17.5,3.8,1.6,0.7,20,14200,9.7,
Hyderabad,Saidabad,125000,15.9,12.7,2.8,1.2,0.5,19.1,10400,8.8,
Hyderabad,Malakpet,130000,16.5,13.2,2.9,1.3,0.6,18.7,10700,9,
Hyderabad,Santoshnagar,115000,14.7,11.6,2.6,1,0.5,18.5,9700,8.6,
Hyderabad,Champapet,100000,12.8,10.2,2.2,0.9,0.4,17.8,8600,8.2,
Hyderabad,Saroor Nagar,118000,15,12.1,2.5,1.1,0.5,18.9,9900,8.7,
Hyderabad,L B Nagar,140000,17.8,14.2,3.1,1.4,0.6,20.1,11800,9.3,
Hyderabad,Hayathnagar,95000,12.3,9.8,2,0.8,0.4,19.5,8100,8.1,
Hyderabad,Vanastalipuram,112000,14.2,11.3,2.5,1,0.5,18.7,9400,8.5,
Hyderabad,Hastinapuram,89000,11.6,9.2,2,0.7,0.4,17.9,7800,7.9,
Hyderabad,Chaitanyapuri,93000,12,9.6,2.1,0.8,0.4,17.4,8100,8,
Hyderabad,Kothapet,98000,12.7,10.1,2.2,0.9,0.5,18.1,8500,8.2,
Hyderabad,Nagole,120000,15.4,12.3,2.8,1.1,0.6,19.3,10100,8.8,
Hyderabad,Uppal,150000,19.5,15.7,3.4,1.5,0.7,20.5,12500,9.4,
Hyderabad,Habsiguda,96000,12.5,10,2.1,0.8,0.4,18.2,8200,8.1,
Hyderabad,Tarnaka,108000,13.9,11.2,2.4,1,0.5,18.7,9000,8.4,
Hyderabad,Nacharam,112000,14.3,11.5,2.5,1.1,0.5,19,9300,8.6,
Hyderabad,Malkajgiri,170000,22,17.6,3.8,1.7,0.8,21,14000,9.8,
Hyderabad,AS Rao Nagar,99000,12.8,10.2,2.3,0.9,0.4,18.6,8600,8.2,
Hyderabad,Safilguda,87000,11.2,8.9,2,0.8,0.4,17.5,7500,7.7,
Hyderabad,Alwal,130000,16.9,13.4,2.9,1.3,0.6,19.8,11200,9,
Hyderabad,Bolarum,90000,11.9,9.5,2.1,0.8,0.4,18,7800,8,
Hyderabad,Kompally,120000,15.8,12.6,2.7,1.2,0.6,19.2,10300,8.8,
Hyderabad,Suchitra,110000,14.4,11.5,2.5,1,0.5,18.7,9600,8.6,
Hyderabad,Kukatpally,180000,23,18.3,4,1.8,0.8,21.5,15000,9.9,
Hyderabad,Miyapur,150000,19.4,15.6,3.3,1.5,0.7,20.7,12600,9.4,
Hyderabad,Chandanagar,140000,18,14.5,3,1.4,0.6,19.9,11800,9.2,
Hyderabad,Patancheru,135000,17.4,14,3.1,1.3,0.6,20.3,11500,9,
Hyderabad,BHEL Township,95000,12.2,9.8,2,0.8,0.4,18.4,8200,8.1,
Hyderabad,RC Puram,105000,13.5,10.9,2.3,0.9,0.5,19.1,8900,8.4,
Hyderabad,Lingampally,99000,12.7,10.2,2.2,0.9,0.5,18.8,8600,8.2,
Hyderabad,Nallagandla,88000,11.3,9,2,0.7,0.4,18.5,7800,7.9,
